"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 18 09:05:37 CEST 2023","Wed Oct 18 09:05:38 CEST 2023","366","test_dir2","test_pytest_2","","","","test_get_link_text",""
"passed","Wed Oct 18 09:05:37 CEST 2023","Wed Oct 18 09:05:37 CEST 2023","380","test_dir1","test_hw_18","","","","test_get_link_json",""
"passed","Wed Oct 18 09:05:34 CEST 2023","Wed Oct 18 09:05:35 CEST 2023","726","test_dir1","test_hw_18","","","","test_creat_option_link_custom",""
"passed","Wed Oct 18 09:05:32 CEST 2023","Wed Oct 18 09:05:33 CEST 2023","721","test_dir1","test_hw_18","","","","test_creat_simple_link[https://dzen.ru/news/rubric/personal_feed?issue_tld=ru&utm_referrer=dzen.ru]",""
"passed","Wed Oct 18 09:05:33 CEST 2023","Wed Oct 18 09:05:33 CEST 2023","750","test_dir1","test_hw_18","","","","test_creat_simple_link[https://www.apple.com/ru/shop/goto/help/sales_refunds]",""
"passed","Wed Oct 18 09:05:35 CEST 2023","Wed Oct 18 09:05:35 CEST 2023","328","test_dir1","test_hw_18","","","","test_creat_option_link_usefallback",""
"passed","Wed Oct 18 09:05:36 CEST 2023","Wed Oct 18 09:05:36 CEST 2023","350","test_dir1","test_hw_18","","","","test_get_link_text",""
"passed","Wed Oct 18 09:05:33 CEST 2023","Wed Oct 18 09:05:34 CEST 2023","716","test_dir1","test_hw_18","","","","test_creat_simple_link[https://www.levels.fyi/t/software-engineer/focus/testing-sdet?countryId=254&searchText=Irvine]",""
"passed","Wed Oct 18 09:05:38 CEST 2023","Wed Oct 18 09:05:38 CEST 2023","1","test_dir2","test_pytest_2","","","","test_num",""
